,r1,r2,r3,r4,r5,r6,r7,r8,f1,f2,f3,f4,f5,f6,f7,f8,label
59,0.63183993,10.820654,-1.5928603,-5.4573526,1.7556351,2.096982,-8.309911,2.2040362,2.928429,6.032742,-1.1092585,-0.97674704,-1.3099853,0.41844594,-3.8979652,-2.5544407,1
60,0.4973852,12.249833,-1.8823189,-6.629825,2.3084242,2.8003492,-10.7259035,3.518087,1.5486114,4.5875587,-0.3808549,-0.5366173,0.024080168,0.6937867,-3.7533114,-1.9924839,1
61,0.9000169,12.634247,-1.4845736,-7.1120787,1.1307154,3.486951,-9.82991,2.72473,1.3409578,5.671172,-1.6064193,-1.2020962,-0.5359767,-0.40252772,-4.338337,-1.0613331,1
62,1.1714754,13.028362,-1.1239222,-6.4511185,0.7977226,3.4650369,-12.046294,1.3116621,2.473178,7.630681,-2.3555996,-0.40336692,-1.0265753,-0.049486816,-5.785957,-2.0635736,1
63,1.9437966,12.928063,-0.6743451,-6.2850475,-0.43892238,3.7178123,-10.042479,-0.31974792,1.0358472,5.0247493,-0.4099822,-0.28475583,-0.22510418,0.037108447,-4.046982,-2.0975358,1
64,1.4552196,12.731955,-1.3972251,-6.5661097,0.22242904,3.2958019,-10.328277,1.1903145,1.6124306,6.247566,-1.484663,-0.44080722,-1.2152877,-0.3895679,-3.8562047,-2.2301848,1
65,0.3753159,10.717394,-1.030942,-4.8894362,1.4135985,1.9199404,-8.714477,2.1470134,2.5953152,7.0191617,-1.5165021,-0.50498605,-1.4737824,0.09164095,-4.792775,-2.8217087,1
66,0.25720888,11.598831,-1.485555,-5.6400723,1.1799699,2.5696356,-9.523809,3.3813927,1.9612653,6.384842,-1.3795031,-0.9312982,-0.8964367,0.0958046,-4.5034666,-2.0465302,1
67,-0.4517535,9.858886,-0.5534229,-5.563363,1.4181002,2.097625,-7.6420083,1.9335202,1.5468127,6.0767717,-1.1207391,-1.2218326,-1.1123842,-0.30717134,-3.9461343,-1.8000176,1
68,0.20105049,11.097345,-2.8944025,-5.61953,1.2935447,3.1208565,-9.106275,5.7710233,1.3875934,5.7797203,-0.41992593,-1.0544283,-0.4442102,0.19140007,-4.095889,-2.0746653,1
69,-1.0162762,9.974366,-0.908291,-6.0725183,2.2092648,2.135705,-7.8148685,3.5971632,0.7941913,5.1163907,-0.62015766,-0.8054947,-0.579858,-0.21754287,-3.5473995,-1.8093892,1
70,-0.6424061,9.710613,-1.8381661,-5.478533,1.6490768,2.526286,-7.380914,5.225707,1.8203669,7.339106,-1.4220712,-0.9303122,-1.4602665,0.09317873,-4.743072,-2.5493634,1
71,-0.47830302,11.312901,-0.6851414,-6.813228,1.0279585,2.4941926,-8.149674,2.4719272,2.116636,8.839118,-2.1642299,-1.174509,-1.9238853,-0.47609717,-5.313622,-2.0066245,1
72,0.5414966,11.954768,-0.90354204,-6.078329,2.062475,3.1963155,-7.5029745,4.064966,2.1640623,7.8755097,-2.1643996,-0.44927266,-1.7857614,-0.08806572,-4.3872933,-2.230378,1
73,1.2078102,15.176208,-2.3443635,-6.5551977,-2.0389311,2.616941,-7.6567197,-3.7735057,3.8642297,8.499512,-3.8650074,-4.0801105,-3.6927848,8.36856,-5.860064,-5.852222,1
74,1.2517078,14.943318,-2.1569002,-6.489797,-1.8825192,3.070988,-7.5017757,-3.6140003,3.9978878,9.834435,-4.4414053,-3.571208,-3.6094368,7.66897,-5.9064174,-5.6636667,1
75,0.4820875,15.791741,-1.2115618,-6.6248784,-1.8429067,3.4888148,-7.2903223,-4.288511,4.0434027,9.636468,-4.444283,-4.4399514,-3.469309,7.6476893,-6.3543887,-5.61549,1
76,0.49644023,14.108621,-0.49644202,-7.084763,-0.95021576,2.6049922,-5.403011,-3.4986157,5.6598597,15.274324,-5.8803873,-5.2116776,-4.847207,6.663719,-7.2588625,-6.513908,1
77,1.1173038,17.20529,-1.4256458,-8.314833,-1.5108571,3.539128,-6.9567986,-3.395922,5.273942,15.250004,-5.643109,-6.0775437,-4.9794,7.8455653,-8.175589,-6.313578,1
78,2.1463063,16.517958,-0.35834414,-7.4950824,-1.6457407,3.778385,-7.0373335,-4.644558,3.7996671,13.19279,-4.9554214,-5.772558,-3.934643,7.9696865,-5.9938254,-6.2529364,1
79,1.6994282,16.910276,-0.9591406,-7.9947577,-0.9702407,3.2242327,-7.1768146,-3.5164938,5.0300465,14.156475,-5.2505283,-6.27481,-4.257587,7.3395224,-6.8074737,-5.872071,1
80,1.721232,16.93058,-0.940636,-6.558469,-1.4530321,3.6124158,-7.4603167,-4.347689,5.198341,11.97956,-4.6175175,-4.390375,-4.206209,7.13584,-6.2243276,-6.41214,1
81,2.3335562,17.224415,-0.89617485,-6.330088,-1.1467961,3.2249706,-7.298169,-3.9893708,4.245923,8.892655,-3.1278887,-4.3553476,-2.7125463,7.330925,-4.48755,-4.9789896,1
82,3.0108433,17.785965,-1.7271802,-6.580732,-2.3282025,3.9155338,-7.744748,-4.882064,5.444266,12.169963,-5.0200562,-3.9274414,-4.2695203,4.6519957,-4.740811,-5.7209325,1
83,3.0082977,17.718664,-2.1739595,-5.8499584,-2.4062307,3.7572093,-8.201699,-4.8658075,6.328882,8.752303,-3.6014426,-3.179567,-2.9861808,8.962468,-5.894643,-5.9692073,1
84,2.4253714,15.754655,-2.8247063,-4.755818,-2.3925202,3.910611,-8.04718,-4.2441807,7.0149693,12.453639,-5.059074,-3.8359683,-4.103796,7.9029946,-6.8987556,-7.3382826,1
85,1.9930985,15.079567,-0.73150057,-5.379166,-1.080643,3.078709,-7.160092,-4.6203656,5.4943066,7.1421494,-2.3626103,-3.1016953,-2.6991122,9.25285,-5.783334,-6.227825,1
86,1.9353743,14.36516,-1.8290769,-5.1651,-1.793148,3.407583,-6.8571534,-4.710015,4.71927,6.5822754,-2.2021892,-2.9611127,-2.438203,9.232873,-5.1231766,-6.2355394,1
87,1.3930192,13.437811,-1.2475489,-4.6524925,0.1454038,1.3512117,-5.5470023,-3.565032,3.595182,6.1684012,-1.7644908,-2.7121212,-2.2077591,11.416557,-6.5391555,-5.751121,1
88,3.1473196,14.416908,-2.242717,-4.8904195,-2.3092537,2.8395846,-7.2986293,-5.6396255,4.907535,11.020566,-4.325898,-1.7690786,-4.577765,7.126079,-6.596573,-6.1983023,1
89,1.9734559,13.539868,-1.9846752,-4.9719343,0.10796596,0.6467771,-6.5604935,-3.758943,4.6682835,9.447013,-3.6853604,-0.9197263,-3.6957943,10.568498,-8.087402,-6.455411,1
90,3.6367443,12.64138,-3.209599,-4.638048,-1.6376497,1.9697384,-7.4601893,-3.8945868,6.196802,11.972469,-4.238144,-1.3986177,-4.7078147,7.089008,-7.5717483,-7.036356,1
91,4.612325,13.141373,-2.6006606,-4.9738626,-0.6345139,1.7081865,-7.5530453,-3.9699545,4.1544204,8.334649,-2.8005736,-1.5387001,-3.0507135,9.243679,-6.450327,-6.030802,1
92,4.793645,11.546817,-2.4041064,-3.8604555,-1.785259,2.8788161,-6.5192084,-4.8117967,3.6540847,7.241218,-2.9988759,-1.6066704,-3.6165557,9.331836,-6.1917963,-5.8372383,1
93,5.696921,10.957165,-3.7724223,-3.2785697,-0.8662893,2.209969,-6.7191167,-3.29673,3.3049104,8.427922,-3.018812,-1.9842502,-3.5943367,7.9825926,-5.104643,-5.6726494,1
94,7.5288305,10.716094,-2.5545878,-3.9522073,-2.1458623,3.619577,-6.297454,-4.4763227,4.500947,12.038445,-4.051731,-2.155479,-4.404233,4.458487,-5.9099426,-5.659209,1
95,6.10151,10.90062,-3.4344878,-2.8462684,-0.63604677,1.895443,-6.6483855,-3.881526,4.779141,11.820613,-4.1191254,-1.770195,-4.570675,3.4379892,-4.971126,-5.8405776,1
96,4.7318873,11.484687,-1.9975994,-4.0064826,-0.87201685,2.1876085,-5.93495,-4.779525,5.249512,13.122332,-4.317748,-1.7082067,-4.777948,3.7069032,-6.756207,-5.9507594,1
97,5.6995554,9.93249,-2.5037057,-2.8056047,-0.7273939,2.0597477,-5.8856497,-4.0206,5.995414,14.552497,-5.250833,-1.877069,-5.8672495,2.4288116,-6.3175836,-5.608678,1
98,6.613089,10.935636,-1.9272203,-3.750456,-2.2597463,3.0945067,-7.160509,-5.7795944,4.7034507,9.715943,-3.483188,-2.4793139,-4.152621,3.305672,-5.0472136,-5.0894523,1
99,7.3010483,11.080786,-2.891139,-2.4711828,-1.1516098,2.50973,-6.442296,-4.417795,5.358185,15.840243,-5.6007614,-2.0539129,-6.4933667,2.4591002,-6.7208104,-6.13935,1
100,6.604077,11.447478,-2.957115,-2.8909426,-2.085135,3.1654308,-6.396646,-5.052056,6.6696706,12.563222,-4.206044,-1.9737409,-5.405145,1.6674597,-5.9921627,-5.770642,1
101,7.1815753,11.352717,-3.2478437,-3.0879402,-1.7873844,3.0293756,-6.3016677,-4.42455,7.0322266,17.084976,-4.7809157,-1.0731384,-6.465481,-0.55270755,-5.816605,-5.5231586,1
102,6.5407033,11.674523,-3.5766292,-3.9792955,-1.6995147,3.0494614,-7.8894124,-4.394655,6.9839115,14.7763,-4.4816337,-1.750666,-6.293206,1.0658263,-6.392714,-6.2966723,1
103,7.2777,13.002557,-4.084968,-4.293231,-2.012091,2.9162538,-7.7611294,-4.442214,7.4192686,18.385376,-5.7817545,-1.7192954,-7.1927214,0.24865009,-6.9341245,-6.2058187,1
104,7.5550604,12.839143,-4.297355,-4.8131514,-2.4257882,3.0134768,-8.845009,-4.3264804,7.274754,16.812878,-5.395864,-2.4268973,-6.89307,1.2360133,-7.9279,-6.2830844,1
105,6.510619,13.622853,-4.5890107,-4.710878,-1.9510812,2.6544414,-8.35245,-3.9565966,6.191013,14.447914,-4.3010154,-2.1975,-6.0630374,1.0775894,-5.48974,-5.811783,1
106,6.222143,12.622535,-4.034331,-4.6877885,-1.6596057,2.3849902,-8.042039,-3.6436486,7.0476727,18.145582,-5.812836,-2.2152283,-7.2819824,-0.10318898,-7.0941544,-6.4363494,1
107,6.800977,13.352012,-4.277665,-4.6454673,-2.3908505,2.9466665,-9.056335,-4.872595,7.0706315,18.464165,-6.05315,-2.380584,-7.5020638,0.3485996,-6.840922,-5.75745,1
108,6.3033266,12.949225,-4.598662,-3.1886885,-1.8321601,2.3304627,-8.851953,-4.8658967,9.520385,26.757992,-8.7245035,-3.63436,-9.459862,-1.1779618,-9.643515,-6.7059073,1
109,4.7693834,15.142767,-4.536198,-5.5932293,-1.7915679,2.5285494,-9.158297,-4.830971,6.263635,23.627201,-7.041994,-3.3596907,-9.181208,0.8241817,-9.183028,-7.019222,1
110,3.7126968,14.904391,-4.4695706,-5.042142,-0.92107034,1.8678948,-8.34191,-3.198764,7.480419,24.987528,-9.139898,-3.294815,-8.93212,1.6391562,-10.7548895,-7.7964916,1
111,4.1962323,16.177956,-4.326974,-5.8005033,-1.0541621,2.300237,-8.71715,-4.139629,4.3485584,15.804427,-5.941631,-2.034044,-6.4428067,5.124439,-8.061985,-6.404412,1
112,3.4442499,15.240677,-3.6294327,-5.9919515,-0.62901545,2.114935,-8.341104,-3.8713727,5.415888,16.052809,-6.227758,-3.168683,-6.4076552,4.0615177,-8.198387,-5.801446,1
113,4.037637,15.144099,-3.9234297,-5.8583612,-1.3382986,2.6419065,-8.45925,-3.5297902,3.6015744,15.28315,-4.539919,-1.807983,-5.9737797,3.3598866,-6.423964,-6.32115,1
114,3.3570046,15.10124,-3.6614277,-6.435665,-1.0870802,2.7849844,-7.3393674,-2.0450072,4.585101,16.948265,-6.6725664,-3.3772242,-6.758914,3.6327262,-7.211338,-6.042514,1
115,3.0497568,16.50768,-4.1103163,-5.9625387,-1.0754058,2.8842173,-7.4990225,-2.4231374,3.7522488,16.201826,-5.952691,-3.390261,-6.4589286,4.5325727,-6.783999,-6.0439253,1
116,2.7124207,15.990226,-3.9446583,-6.309636,-0.803299,2.5154564,-7.768877,-2.2819898,5.0241175,15.936931,-6.515775,-4.284689,-6.359275,4.712445,-6.9642434,-5.738143,1
117,2.1083908,14.234848,-2.2504718,-6.752385,0.015852716,1.990117,-6.2780213,-2.0273514,4.5373926,15.738348,-5.996731,-4.439163,-5.9896474,5.437488,-8.001384,-6.2937574,1
118,2.1289387,14.233687,-2.863002,-6.852792,-0.10317761,1.985901,-6.8222675,-1.8261985,4.8640623,16.781506,-6.350728,-4.827012,-6.427721,4.3414354,-6.4023824,-5.8605595,1
119,2.2942133,14.231778,-2.9391134,-7.036838,-0.57066035,1.8710157,-6.481166,-2.2620945,4.28709,9.690372,-3.9006429,-3.5738838,-4.556239,6.568536,-4.222708,-5.8148856,1
120,2.7783604,13.624515,-2.6542373,-6.916889,-1.9744693,2.890512,-6.8223877,-3.1672034,3.6553433,9.616404,-3.4302342,-3.2860177,-4.383393,7.1228123,-4.1553087,-6.4021473,1
121,0.9694375,12.426561,-0.96984845,-6.269386,-1.101112,2.3624105,-6.067188,-3.1451728,3.0697024,9.36637,-3.6448662,-3.4821112,-4.005069,6.1557393,-4.1992126,-6.1081853,1
122,9.359012,23.11795,-7.031821,-5.4244394,-4.25627,5.4410815,-9.998587,-4.7182474,9.819768,18.965263,-7.2562776,-3.7056265,-7.32159,1.6577687,-7.362033,-6.323314,1
123,8.743311,24.32022,-8.1239395,-6.575769,-4.2842145,5.9490848,-9.481438,-4.9999685,9.234644,18.814468,-7.2034664,-2.8742616,-7.992501,1.4523672,-6.896256,-6.1836066,1
124,8.001786,26.69795,-8.197877,-5.9020424,-4.8356214,7.4756603,-10.05367,-5.246353,6.962451,18.463844,-6.6404753,-2.687804,-7.2314997,0.7500726,-5.602112,-5.45506,1
125,7.5251007,25.186779,-7.7827344,-6.706009,-4.6029463,6.5207653,-9.853066,-4.565284,7.237161,20.988472,-7.0193906,-2.4709368,-8.174142,0.8665666,-6.425668,-6.0147347,1
126,7.1360774,24.607506,-7.1926227,-5.4711504,-3.6875594,5.9481626,-8.862372,-3.4890532,6.5525465,20.53093,-6.6993313,-2.9224389,-8.023271,1.5412986,-6.775215,-6.1343513,1
127,6.4706993,23.627842,-7.9670653,-6.6211143,-3.8108675,5.2139096,-8.599481,-1.7716321,7.507726,21.983532,-7.0827727,-2.243079,-8.406649,1.3229204,-8.520812,-6.4429955,1
128,6.110085,19.915108,-6.876539,-3.3871138,-2.507256,4.672379,-6.473004,-0.99544054,6.489615,19.169712,-6.389586,-2.2713754,-7.4957013,1.7645061,-7.0017405,-6.088894,1
129,6.4752464,20.342495,-7.511306,-5.166937,-3.1996717,5.019091,-7.585414,-0.38188377,6.8633356,22.285797,-7.2115498,-2.363275,-7.9960465,1.1568551,-8.316353,-6.3684173,1
130,5.6191,18.129768,-7.136125,-3.4065835,-2.3451688,4.0403776,-6.2858725,-0.17075656,6.5358443,21.205355,-7.374657,-3.1122668,-7.5678425,1.3849086,-7.711354,-6.4078484,1
131,5.0004787,20.075628,-7.5299106,-6.1453037,-3.23307,5.9701586,-7.612763,-0.16298443,8.045422,25.358524,-8.804547,-3.2711518,-8.814667,1.4636152,-10.088395,-6.6950803,1
132,3.5881486,20.733807,-6.793774,-6.4352436,-4.527469,7.3276725,-9.063182,-1.7551391,7.366898,23.02472,-8.654781,-3.3683033,-8.641043,0.9158515,-7.4212165,-6.4600716,1
133,2.8287284,21.284008,-6.7621837,-7.927448,-4.972618,7.9387884,-11.2498,-2.3290658,8.0550785,24.680904,-8.807118,-3.2966092,-8.586035,1.4668437,-9.037584,-6.8714867,1
134,3.8802075,21.142271,-5.4572525,-7.5079026,-3.2513618,7.38133,-9.0140085,-1.6725646,6.07294,18.341585,-6.5665855,-2.589413,-7.1345243,1.4392773,-6.169668,-5.9326406,1
